s1t-3,s1t-2,s1t-1,s1t-0,s2t-3,s2t-2,s2t-1,s2t-0,pt+7
628.0,628.0,627.0,624.0,485.0,486.0,488.0,489.0,490.0
628.0,627.0,624.0,618.0,486.0,488.0,489.0,490.0,490.0
627.0,624.0,618.0,613.0,488.0,489.0,490.0,490.0,489.0
624.0,618.0,613.0,608.0,489.0,490.0,490.0,490.0,488.0
618.0,613.0,608.0,604.0,490.0,490.0,490.0,490.0,486.0
613.0,608.0,604.0,596.0,490.0,490.0,490.0,490.0,484.0
608.0,604.0,596.0,592.0,490.0,490.0,490.0,490.0,481.0
604.0,596.0,592.0,586.0,490.0,490.0,490.0,490.0,478.0
596.0,592.0,586.0,580.0,490.0,490.0,490.0,490.0,475.0
592.0,586.0,580.0,576.0,490.0,490.0,490.0,489.0,470.0
586.0,580.0,576.0,570.0,490.0,490.0,489.0,488.0,468.0
580.0,576.0,570.0,564.0,490.0,489.0,488.0,486.0,464.0
576.0,570.0,564.0,556.0,489.0,488.0,486.0,484.0,460.0
570.0,564.0,556.0,544.0,488.0,486.0,484.0,481.0,456.0
564.0,556.0,544.0,520.0,486.0,484.0,481.0,478.0,451.0
556.0,544.0,520.0,510.0,484.0,481.0,478.0,475.0,448.0
544.0,520.0,510.0,504.0,481.0,478.0,475.0,470.0,444.0
520.0,510.0,504.0,496.0,478.0,475.0,470.0,468.0,440.0
510.0,504.0,496.0,490.0,475.0,470.0,468.0,464.0,436.0
504.0,496.0,490.0,484.0,470.0,468.0,464.0,460.0,431.0
496.0,490.0,484.0,476.0,468.0,464.0,460.0,456.0,427.0
490.0,484.0,476.0,470.0,464.0,460.0,456.0,451.0,422.0
484.0,476.0,470.0,464.0,460.0,456.0,451.0,448.0,416.0
476.0,470.0,464.0,457.0,456.0,451.0,448.0,444.0,410.0
470.0,464.0,457.0,452.0,451.0,448.0,444.0,440.0,404.0
464.0,457.0,452.0,448.0,448.0,444.0,440.0,436.0,396.0
457.0,452.0,448.0,442.0,444.0,440.0,436.0,431.0,390.0
452.0,448.0,442.0,437.0,440.0,436.0,431.0,427.0,382.0
448.0,442.0,437.0,432.0,436.0,431.0,427.0,422.0,376.0
442.0,437.0,432.0,426.0,431.0,427.0,422.0,416.0,368.0
437.0,432.0,426.0,421.0,427.0,422.0,416.0,410.0,360.0
432.0,426.0,421.0,416.0,422.0,416.0,410.0,404.0,356.0
426.0,421.0,416.0,411.0,416.0,410.0,404.0,396.0,351.0
421.0,416.0,411.0,406.0,410.0,404.0,396.0,390.0,344.0
416.0,411.0,406.0,400.0,404.0,396.0,390.0,382.0,339.0
411.0,406.0,400.0,396.0,396.0,390.0,382.0,376.0,335.0
406.0,400.0,396.0,391.0,390.0,382.0,376.0,368.0,329.0
400.0,396.0,391.0,386.0,382.0,376.0,368.0,360.0,327.0
396.0,391.0,386.0,382.0,376.0,368.0,360.0,356.0,323.0
391.0,386.0,382.0,377.0,368.0,360.0,356.0,351.0,319.0
386.0,382.0,377.0,372.0,360.0,356.0,351.0,344.0,315.0
382.0,377.0,372.0,370.0,356.0,351.0,344.0,339.0,311.0
377.0,372.0,370.0,364.0,351.0,344.0,339.0,335.0,308.0
372.0,370.0,364.0,359.0,344.0,339.0,335.0,329.0,306.0
370.0,364.0,359.0,354.0,339.0,335.0,329.0,327.0,303.0
364.0,359.0,354.0,350.0,335.0,329.0,327.0,323.0,300.0
359.0,354.0,350.0,345.0,329.0,327.0,323.0,319.0,296.0
354.0,350.0,345.0,341.0,327.0,323.0,319.0,315.0,294.0
350.0,345.0,341.0,337.0,323.0,319.0,315.0,311.0,292.0
345.0,341.0,337.0,334.0,319.0,315.0,311.0,308.0,288.0
341.0,337.0,334.0,330.0,315.0,311.0,308.0,306.0,286.0
337.0,334.0,330.0,328.0,311.0,308.0,306.0,303.0,284.0
334.0,330.0,328.0,326.0,308.0,306.0,303.0,300.0,280.0
330.0,328.0,326.0,324.0,306.0,303.0,300.0,296.0,276.0
328.0,326.0,324.0,322.0,303.0,300.0,296.0,294.0,274.0
326.0,324.0,322.0,320.0,300.0,296.0,294.0,292.0,271.0
324.0,322.0,320.0,319.0,296.0,294.0,292.0,288.0,268.0
322.0,320.0,319.0,318.0,294.0,292.0,288.0,286.0,265.0
320.0,319.0,318.0,317.0,292.0,288.0,286.0,284.0,262.0
319.0,318.0,317.0,316.0,288.0,286.0,284.0,280.0,259.0
318.0,317.0,316.0,314.0,286.0,284.0,280.0,276.0,256.0
317.0,316.0,314.0,313.0,284.0,280.0,276.0,274.0,253.0
316.0,314.0,313.0,312.0,280.0,276.0,274.0,271.0,253.0
314.0,313.0,312.0,312.0,276.0,274.0,271.0,268.0,252.0
313.0,312.0,312.0,311.0,274.0,271.0,268.0,265.0,252.0
312.0,312.0,311.0,310.0,271.0,268.0,265.0,262.0,251.0
312.0,311.0,310.0,310.0,268.0,265.0,262.0,259.0,250.0
311.0,310.0,310.0,290.0,265.0,262.0,259.0,256.0,249.0
310.0,310.0,290.0,288.0,262.0,259.0,256.0,253.0,248.0
310.0,290.0,288.0,287.0,259.0,256.0,253.0,253.0,247.0
290.0,288.0,287.0,285.0,256.0,253.0,253.0,252.0,247.0
288.0,287.0,285.0,282.0,253.0,253.0,252.0,252.0,247.0
287.0,285.0,282.0,280.0,253.0,252.0,252.0,251.0,246.0
285.0,282.0,280.0,276.0,252.0,252.0,251.0,250.0,246.0
282.0,280.0,276.0,273.0,252.0,251.0,250.0,249.0,245.0
280.0,276.0,273.0,269.0,251.0,250.0,249.0,248.0,245.0
276.0,273.0,269.0,265.0,250.0,249.0,248.0,247.0,244.0
273.0,269.0,265.0,261.0,249.0,248.0,247.0,247.0,243.0
269.0,265.0,261.0,258.0,248.0,247.0,247.0,247.0,242.0
265.0,261.0,258.0,256.0,247.0,247.0,247.0,246.0,241.0
261.0,258.0,256.0,276.0,247.0,247.0,246.0,246.0,240.0
258.0,256.0,276.0,272.0,247.0,246.0,246.0,245.0,239.0
256.0,276.0,272.0,270.0,246.0,246.0,245.0,245.0,238.0
276.0,272.0,270.0,267.0,246.0,245.0,245.0,244.0,236.0
272.0,270.0,267.0,262.0,245.0,245.0,244.0,243.0,234.0
270.0,267.0,262.0,258.0,245.0,244.0,243.0,242.0,235.0
267.0,262.0,258.0,257.0,244.0,243.0,242.0,241.0,234.0
262.0,258.0,257.0,256.0,243.0,242.0,241.0,240.0,233.0
258.0,257.0,256.0,256.0,242.0,241.0,240.0,239.0,232.0
257.0,256.0,256.0,255.0,241.0,240.0,239.0,238.0,231.0
256.0,256.0,255.0,256.0,240.0,239.0,238.0,236.0,230.0
256.0,255.0,256.0,256.0,239.0,238.0,236.0,234.0,230.0
255.0,256.0,256.0,256.0,238.0,236.0,234.0,235.0,231.0
256.0,256.0,256.0,256.0,236.0,234.0,235.0,234.0,232.0
256.0,256.0,256.0,256.0,234.0,235.0,234.0,233.0,234.0
256.0,256.0,256.0,256.0,235.0,234.0,233.0,232.0,236.0
256.0,256.0,256.0,256.0,234.0,233.0,232.0,231.0,240.0
250.0,250.0,250.0,240.0,215.0,210.0,210.0,209.0,208.0
250.0,250.0,240.0,240.0,210.0,210.0,209.0,209.0,208.0
250.0,240.0,240.0,240.0,210.0,209.0,209.0,209.0,208.0
240.0,240.0,240.0,240.0,209.0,209.0,209.0,209.0,209.0
240.0,240.0,240.0,240.0,209.0,209.0,209.0,209.0,209.0
240.0,240.0,240.0,240.0,209.0,209.0,209.0,208.0,209.0
240.0,240.0,240.0,240.0,209.0,209.0,208.0,208.0,209.0
240.0,240.0,240.0,240.0,209.0,208.0,208.0,208.0,209.0
240.0,240.0,240.0,241.0,208.0,208.0,208.0,208.0,209.0
240.0,240.0,241.0,242.0,208.0,208.0,208.0,208.0,210.0
240.0,241.0,242.0,242.0,208.0,208.0,208.0,209.0,210.0
241.0,242.0,242.0,243.0,208.0,208.0,209.0,209.0,211.0
242.0,242.0,243.0,243.0,208.0,209.0,209.0,209.0,211.0
242.0,243.0,243.0,242.0,209.0,209.0,209.0,209.0,212.0
243.0,243.0,242.0,242.0,209.0,209.0,209.0,209.0,213.0
243.0,242.0,242.0,241.0,209.0,209.0,209.0,209.0,213.0
242.0,242.0,241.0,240.0,209.0,209.0,209.0,210.0,214.0
242.0,241.0,240.0,239.0,209.0,209.0,210.0,210.0,214.0
241.0,240.0,239.0,238.0,209.0,210.0,210.0,211.0,214.0
240.0,239.0,238.0,237.0,210.0,210.0,211.0,211.0,215.0
239.0,238.0,237.0,236.0,210.0,211.0,211.0,212.0,215.0
238.0,237.0,236.0,235.0,211.0,211.0,212.0,213.0,215.0
237.0,236.0,235.0,234.0,211.0,212.0,213.0,213.0,215.0
236.0,235.0,234.0,233.0,212.0,213.0,213.0,214.0,216.0
235.0,234.0,233.0,232.0,213.0,213.0,214.0,214.0,217.0
234.0,233.0,232.0,231.0,213.0,214.0,214.0,214.0,218.0
233.0,232.0,231.0,230.0,214.0,214.0,214.0,215.0,221.0
232.0,231.0,230.0,235.0,214.0,214.0,215.0,215.0,225.0
231.0,230.0,235.0,240.0,214.0,215.0,215.0,215.0,230.0
230.0,235.0,240.0,246.0,215.0,215.0,215.0,215.0,232.0
235.0,240.0,246.0,245.0,215.0,215.0,215.0,216.0,235.0
240.0,246.0,245.0,245.0,215.0,215.0,216.0,217.0,238.0
246.0,245.0,245.0,250.0,215.0,216.0,217.0,218.0,240.0
245.0,245.0,250.0,257.0,216.0,217.0,218.0,221.0,245.0
245.0,250.0,257.0,263.0,217.0,218.0,221.0,225.0,250.0
250.0,257.0,263.0,266.0,218.0,221.0,225.0,230.0,255.0
257.0,263.0,266.0,268.0,221.0,225.0,230.0,232.0,260.0
263.0,266.0,268.0,269.0,225.0,230.0,232.0,235.0,270.0
266.0,268.0,269.0,270.0,230.0,232.0,235.0,238.0,288.0
268.0,269.0,270.0,274.0,232.0,235.0,238.0,240.0,300.0
269.0,270.0,274.0,277.0,235.0,238.0,240.0,245.0,314.0
270.0,274.0,277.0,281.0,238.0,240.0,245.0,250.0,328.0
274.0,277.0,281.0,297.0,240.0,245.0,250.0,255.0,340.0
277.0,281.0,297.0,300.0,245.0,250.0,255.0,260.0,350.0
281.0,297.0,300.0,320.0,250.0,255.0,260.0,270.0,360.0
297.0,300.0,320.0,344.0,255.0,260.0,270.0,288.0,370.0
300.0,320.0,344.0,358.0,260.0,270.0,288.0,300.0,380.0
320.0,344.0,358.0,370.0,270.0,288.0,300.0,314.0,390.0
344.0,358.0,370.0,380.0,288.0,300.0,314.0,328.0,398.0
358.0,370.0,380.0,394.0,300.0,314.0,328.0,340.0,405.0
370.0,380.0,394.0,404.0,314.0,328.0,340.0,350.0,412.0
380.0,394.0,404.0,413.0,328.0,340.0,350.0,360.0,420.0
394.0,404.0,413.0,421.0,340.0,350.0,360.0,370.0,428.0
404.0,413.0,421.0,432.0,350.0,360.0,370.0,380.0,433.0
413.0,421.0,432.0,443.0,360.0,370.0,380.0,390.0,438.0
421.0,432.0,443.0,454.0,370.0,380.0,390.0,398.0,445.0
432.0,443.0,454.0,464.0,380.0,390.0,398.0,405.0,450.0
443.0,454.0,464.0,476.0,390.0,398.0,405.0,412.0,454.0
454.0,464.0,476.0,485.0,398.0,405.0,412.0,420.0,457.0
464.0,476.0,485.0,496.0,405.0,412.0,420.0,428.0,460.0
476.0,485.0,496.0,508.0,412.0,420.0,428.0,433.0,465.0
485.0,496.0,508.0,517.0,420.0,428.0,433.0,438.0,466.0
496.0,508.0,517.0,523.0,428.0,433.0,438.0,445.0,467.0
508.0,517.0,523.0,529.0,433.0,438.0,445.0,450.0,469.0
517.0,523.0,529.0,535.0,438.0,445.0,450.0,454.0,470.0
523.0,529.0,535.0,540.0,445.0,450.0,454.0,457.0,471.0
529.0,535.0,540.0,542.0,450.0,454.0,457.0,460.0,471.0
535.0,540.0,542.0,543.0,454.0,457.0,460.0,465.0,471.0
540.0,542.0,543.0,543.0,457.0,460.0,465.0,466.0,471.0
542.0,543.0,543.0,543.0,460.0,465.0,466.0,467.0,470.0
543.0,543.0,543.0,543.0,465.0,466.0,467.0,469.0,470.0
543.0,543.0,543.0,542.0,466.0,467.0,469.0,470.0,470.0
543.0,543.0,542.0,542.0,467.0,469.0,470.0,471.0,469.0
543.0,542.0,542.0,539.0,469.0,470.0,471.0,471.0,468.0
542.0,542.0,539.0,534.0,470.0,471.0,471.0,471.0,467.0
542.0,539.0,534.0,531.0,471.0,471.0,471.0,471.0,465.0
539.0,534.0,531.0,527.0,471.0,471.0,471.0,470.0,462.0
534.0,531.0,527.0,521.0,471.0,471.0,470.0,470.0,459.0
531.0,527.0,521.0,518.0,471.0,470.0,470.0,470.0,457.0
527.0,521.0,518.0,513.0,470.0,470.0,470.0,469.0,455.0
521.0,518.0,513.0,507.0,470.0,470.0,469.0,468.0,450.0
518.0,513.0,507.0,503.0,470.0,469.0,468.0,467.0,447.0
513.0,507.0,503.0,497.0,469.0,468.0,467.0,465.0,444.0
507.0,503.0,497.0,494.0,468.0,467.0,465.0,462.0,441.0
503.0,497.0,494.0,487.0,467.0,465.0,462.0,459.0,437.0
497.0,494.0,487.0,480.0,465.0,462.0,459.0,457.0,433.0
494.0,487.0,480.0,475.0,462.0,459.0,457.0,455.0,430.0
487.0,480.0,475.0,468.0,459.0,457.0,455.0,450.0,427.0
480.0,475.0,468.0,460.0,457.0,455.0,450.0,447.0,424.0
475.0,468.0,460.0,452.0,455.0,450.0,447.0,444.0,420.0
468.0,460.0,452.0,445.0,450.0,447.0,444.0,441.0,417.0
460.0,452.0,445.0,438.0,447.0,444.0,441.0,437.0,413.0
452.0,445.0,438.0,431.0,444.0,441.0,437.0,433.0,410.0
445.0,438.0,431.0,453.0,441.0,437.0,433.0,430.0,405.0
438.0,431.0,453.0,453.0,437.0,433.0,430.0,427.0,401.0
431.0,453.0,453.0,447.0,433.0,430.0,427.0,424.0,397.0
453.0,453.0,447.0,444.0,430.0,427.0,424.0,420.0,393.0
453.0,447.0,444.0,440.0,427.0,424.0,420.0,417.0,390.0
447.0,444.0,440.0,436.0,424.0,420.0,417.0,413.0,385.0
444.0,440.0,436.0,431.0,420.0,417.0,413.0,410.0,381.0
440.0,436.0,431.0,420.0,417.0,413.0,410.0,405.0,377.0
436.0,431.0,420.0,424.0,413.0,410.0,405.0,401.0,374.0
431.0,420.0,424.0,420.0,410.0,405.0,401.0,397.0,370.0
420.0,424.0,420.0,416.0,405.0,401.0,397.0,393.0,365.0
424.0,420.0,416.0,413.0,401.0,397.0,393.0,390.0,361.0
420.0,416.0,413.0,413.0,397.0,393.0,390.0,385.0,357.0
416.0,413.0,413.0,407.0,393.0,390.0,385.0,381.0,353.0
413.0,413.0,407.0,404.0,390.0,385.0,381.0,377.0,349.0
413.0,407.0,404.0,401.0,385.0,381.0,377.0,374.0,345.0
407.0,404.0,401.0,398.0,381.0,377.0,374.0,370.0,341.0
404.0,401.0,398.0,395.0,377.0,374.0,370.0,365.0,337.0
401.0,398.0,395.0,392.0,374.0,370.0,365.0,361.0,333.0
398.0,395.0,392.0,390.0,370.0,365.0,361.0,357.0,328.0
395.0,392.0,390.0,385.0,365.0,361.0,357.0,353.0,325.0
392.0,390.0,385.0,382.0,361.0,357.0,353.0,349.0,322.0
390.0,385.0,382.0,379.0,357.0,353.0,349.0,345.0,319.0
385.0,382.0,379.0,376.0,353.0,349.0,345.0,341.0,317.0
382.0,379.0,376.0,374.0,349.0,345.0,341.0,337.0,315.0
379.0,376.0,374.0,372.0,345.0,341.0,337.0,333.0,313.0
376.0,374.0,372.0,369.0,341.0,337.0,333.0,328.0,311.0
374.0,372.0,369.0,366.0,337.0,333.0,328.0,325.0,309.0
372.0,369.0,366.0,363.0,333.0,328.0,325.0,322.0,308.0
369.0,366.0,363.0,360.0,328.0,325.0,322.0,319.0,307.0
366.0,363.0,360.0,359.0,325.0,322.0,319.0,317.0,305.0
363.0,360.0,359.0,358.0,322.0,319.0,317.0,315.0,303.0
360.0,359.0,358.0,357.0,319.0,317.0,315.0,313.0,300.0
359.0,358.0,357.0,355.0,317.0,315.0,313.0,311.0,298.0
358.0,357.0,355.0,353.0,315.0,313.0,311.0,309.0,296.0
357.0,355.0,353.0,350.0,313.0,311.0,309.0,308.0,294.0
355.0,353.0,350.0,348.0,311.0,309.0,308.0,307.0,294.0
353.0,350.0,348.0,346.0,309.0,308.0,307.0,305.0,293.0
350.0,348.0,346.0,343.0,308.0,307.0,305.0,303.0,291.0
348.0,346.0,343.0,341.0,307.0,305.0,303.0,300.0,291.0
346.0,343.0,341.0,339.0,305.0,303.0,300.0,298.0,290.0
343.0,341.0,339.0,337.0,303.0,300.0,298.0,296.0,288.0
341.0,339.0,337.0,338.0,300.0,298.0,296.0,294.0,288.0
339.0,337.0,338.0,339.0,298.0,296.0,294.0,294.0,290.0
337.0,338.0,339.0,340.0,296.0,294.0,294.0,293.0,294.0
338.0,339.0,340.0,342.0,294.0,294.0,293.0,291.0,302.0
339.0,340.0,342.0,345.0,294.0,293.0,291.0,291.0,308.0
340.0,342.0,345.0,350.0,293.0,291.0,291.0,290.0,315.0
342.0,345.0,350.0,352.0,291.0,291.0,290.0,288.0,322.0
345.0,350.0,352.0,356.0,291.0,290.0,288.0,288.0,327.0
350.0,352.0,356.0,360.0,290.0,288.0,288.0,290.0,330.0
352.0,356.0,360.0,364.0,288.0,288.0,290.0,294.0,333.0
356.0,360.0,364.0,365.0,288.0,290.0,294.0,302.0,333.0
360.0,364.0,365.0,366.0,290.0,294.0,302.0,308.0,331.0
364.0,365.0,366.0,368.0,294.0,302.0,308.0,315.0,328.0
365.0,366.0,368.0,369.0,302.0,308.0,315.0,322.0,328.0
366.0,368.0,369.0,368.0,308.0,315.0,322.0,327.0,325.0
368.0,369.0,368.0,368.0,315.0,322.0,327.0,330.0,322.0
369.0,368.0,368.0,367.0,322.0,327.0,330.0,333.0,320.0
368.0,368.0,367.0,365.0,327.0,330.0,333.0,333.0,317.0
368.0,367.0,365.0,363.0,330.0,333.0,333.0,331.0,315.0
367.0,365.0,363.0,360.0,333.0,333.0,331.0,328.0,310.0
365.0,363.0,360.0,357.0,333.0,331.0,328.0,328.0,307.0
363.0,360.0,357.0,355.0,331.0,328.0,328.0,325.0,305.0
360.0,357.0,355.0,354.0,328.0,328.0,325.0,322.0,305.0
